區域別,月份,選擇,性別,總計,分母,百分比,0至4歲,5至9歲,10至14歲,15至19歲,20至24歲,25至29歲,30至34歲,35至39歲,40至44歲,45至49歲,50至54歲,55至59歲,60至64歲,65至69歲,70至74歲,75至79歲,80至84歲,85至89歲,90至94歲,95至99歲,100歲以上
安平區,9,計,男,31790,67046,47.42%,1435,1673,1507,1942,2446,2306,2095,2502,2736,2657,2744,2514,1998,1388,771,539,303,157,66,10,1
安平區,9,計,計,67046,67046,100.00%,2808,3201,2909,3787,4718,4557,4312,5574,5965,6008,6187,5451,4220,3029,1718,1263,762,400,150,23,4
安定區,9,計,女,14799,30454,48.59%,560,543,509,791,925,997,1073,1268,1203,1082,1118,1244,1015,799,438,446,405,259,101,21,2
安定區,9,計,男,15655,30454,51.41%,643,525,607,829,995,1128,1181,1389,1247,1117,1305,1371,1169,847,388,412,289,147,52,13,1
安定區,9,計,計,30454,30454,100.00%,1203,1068,1116,1620,1920,2125,2254,2657,2450,2199,2423,2615,2184,1646,826,858,694,406,153,34,3
安南區,9,計,女,96323,194065,49.63%,4421,4617,4182,4835,6008,6627,7502,9521,8671,6870,7085,7583,6696,4835,2400,1841,1449,819,288,62,11
安南區,9,計,男,97742,194065,50.37%,4800,4896,4461,5385,6407,7235,7802,9695,9234,7032,6951,7197,6518,4709,2350,1581,889,427,146,25,2
安南區,9,計,計,194065,194065,100.00%,9221,9513,8643,10220,12415,13862,15304,19216,17905,13902,14036,14780,13214,9544,4750,3422,2338,1246,434,87,13
西港區,9,計,女,12148,24567,49.45%,424,381,390,560,825,886,841,971,878,835,1020,1006,879,614,432,386,421,249,109,37,4
西港區,9,計,男,12419,24567,50.55%,441,394,416,592,856,933,927,1017,934,804,1045,1196,954,704,384,345,279,151,41,3,3
西港區,9,計,計,24567,24567,100.00%,865,775,806,1152,1681,1819,1768,1988,1812,1639,2065,2202,1833,1318,816,731,700,400,150,40,7
佳里區,9,計,女,29804,59063,50.46%,1021,1155,1131,1409,1709,1946,2142,2583,2497,2056,2296,2420,2286,1757,979,868,753,535,196,62,3
佳里區,9,計,男,29259,59063,49.54%,1138,1225,1228,1556,1888,2091,2230,2516,2419,1927,2105,2350,2205,1727,931,731,547,309,114,21,1
佳里區,9,計,計,59063,59063,100.00%,2159,2380,2359,2965,3597,4037,4372,5099,4916,3983,4401,4770,4491,3484,1910,1599,1300,844,310,83,4
官田區,9,計,女,10468,21316,49.11%,327,321,340,533,656,686,665,766,830,768,842,894,789,646,451,355,296,208,80,14,1
官田區,9,計,男,10848,21316,50.89%,376,303,349,512,733,840,789,828,798,822,899,1064,851,608,348,247,226,177,69,9,0
官田區,9,計,計,21316,21316,100.00%,703,624,689,1045,1389,1526,1454,1594,1628,1590,1741,1958,1640,1254,799,602,522,385,149,23,1
東山區,9,計,女,9637,20528,46.95%,269,234,270,494,571,583,493,657,600,645,699,829,693,673,533,513,434,302,120,25,0
東山區,9,計,男,10891,20528,53.05%,287,232,315,537,616,614,689,722,715,714,1030,1143,965,754,455,482,330,215,64,12,0
東山區,9,計,計,20528,20528,100.00%,556,466,585,1031,1187,1197,1182,1379,1315,1359,1729,1972,1658,1427,988,995,764,517,184,37,0
東區,9,計,女,96983,185967,52.15%,3283,4316,4999,4932,5937,5940,5777,7650,8282,8178,8219,7841,6976,5667,3338,2556,1687,922,383,92,8
東區,9,計,男,88984,185967,47.85%,3388,4656,5475,5434,6360,6189,5685,6758,6927,6626,6955,6573,5994,4920,2810,1893,1159,731,375,63,13
東區,9,計,計,185967,185967,100.00%,6671,8972,10474,10366,12297,12129,11462,14408,15209,14804,15174,14414,12970,10587,6148,4449,2846,1653,758,155,21
南化區,9,計,女,3969,8599,46.16%,155,92,118,155,218,277,238,274,277,230,286,333,336,298,185,175,162,108,48,3,1
南化區,9,計,男,4630,8599,53.84%,126,128,117,193,276,299,265,289,333,315,417,467,394,348,228,175,132,95,29,4,0
南化區,9,計,計,8599,8599,100.00%,281,220,235,348,494,576,503,563,610,545,703,800,730,646,413,350,294,203,77,7,1
