區域別,月份,選擇,性別,總計,分母,百分比,0至4歲,5至9歲,10至14歲,15至19歲,20至24歲,25至29歲,30至34歲,35至39歲,40至44歲,45至49歲,50至54歲,55至59歲,60至64歲,65至69歲,70至74歲,75至79歲,80至84歲,85至89歲,90至94歲,95至99歲,100歲以上
將軍區,9,計,男,9908,19463,50.91%,279,244,221,424,516,612,594,726,799,772,948,977,904,637,382,344,282,170,59,16,2
將軍區,9,計,計,19463,19463,100.00%,503,467,423,804,1021,1175,1149,1445,1599,1466,1758,1812,1668,1257,756,784,675,451,190,47,13
麻豆區,9,計,女,21614,43990,49.13%,707,790,831,1078,1248,1279,1402,1651,1707,1395,1571,1811,1665,1344,806,780,760,520,210,51,8
麻豆區,9,計,男,22376,43990,50.87%,766,898,885,1200,1409,1458,1522,1808,1664,1484,1595,1958,1842,1389,813,639,576,341,101,24,4
麻豆區,9,計,計,43990,43990,100.00%,1473,1688,1716,2278,2657,2737,2924,3459,3371,2879,3166,3769,3507,2733,1619,1419,1336,861,311,75,12
善化區,9,計,女,24801,49872,49.73%,1296,1304,1144,1197,1350,1589,1826,2424,2178,1695,1682,1665,1500,1236,798,688,602,421,169,30,7
善化區,9,計,男,25071,49872,50.27%,1359,1411,1193,1223,1445,1584,1960,2403,2273,1684,1680,1826,1603,1249,724,602,465,266,101,19,1
善化區,9,計,計,49872,49872,100.00%,2655,2715,2337,2420,2795,3173,3786,4827,4451,3379,3362,3491,3103,2485,1522,1290,1067,687,270,49,8
新化區,9,計,女,21277,43314,49.12%,726,762,759,1034,1402,1430,1379,1725,1611,1521,1684,1836,1604,1311,795,701,494,358,119,21,5
新化區,9,計,男,22037,43314,50.88%,816,896,838,1202,1509,1566,1585,1770,1714,1533,1649,1835,1661,1336,734,602,432,246,99,13,1
新化區,9,計,計,43314,43314,100.00%,1542,1658,1597,2236,2911,2996,2964,3495,3325,3054,3333,3671,3265,2647,1529,1303,926,604,218,34,6
新市區,9,計,女,18621,37208,50.05%,895,914,836,929,1146,1331,1402,1800,1578,1266,1389,1386,1253,915,508,424,338,216,77,17,1
新市區,9,計,男,18587,37208,49.95%,876,973,854,972,1183,1354,1513,1805,1637,1239,1310,1339,1241,936,531,373,257,146,41,7,0
新市區,9,計,計,37208,37208,100.00%,1771,1887,1690,1901,2329,2685,2915,3605,3215,2505,2699,2725,2494,1851,1039,797,595,362,118,24,1
新營區,9,計,女,38988,77114,50.56%,1254,1594,1816,2127,2413,2563,2500,2989,2946,2742,3023,3147,2937,2353,1446,1227,959,670,235,44,3
新營區,9,計,男,38126,77114,49.44%,1494,1748,1901,2293,2603,2745,2753,2937,2763,2483,2803,2999,2750,2218,1321,1028,715,400,142,25,5
新營區,9,計,計,77114,77114,100.00%,2748,3342,3717,4420,5016,5308,5253,5926,5709,5225,5826,6146,5687,4571,2767,2255,1674,1070,377,69,8
楠西區,9,計,女,4420,9353,47.26%,104,105,122,205,250,248,257,290,294,272,348,381,376,317,228,241,216,119,37,8,2
楠西區,9,計,男,4933,9353,52.74%,114,138,142,230,243,282,328,307,298,384,445,534,463,346,230,178,153,79,33,6,0
楠西區,9,計,計,9353,9353,100.00%,218,243,264,435,493,530,585,597,592,656,793,915,839,663,458,419,369,198,70,14,2
臺南市,9,計,女,943545,1881494,50.15%,35098,37279,37563,45783,56071,60944,63741,80174,78227,70555,74321,77045,69034,54848,32992,28012,21942,13395,5228,1159,134
臺南市,9,計,男,937949,1881494,49.85%,37746,40158,40662,49794,60983,65488,67146,79842,77931,67940,72311,75796,68215,52847,29390,22454,15712,9208,3611,637,78
臺南市,9,計,計,1881494,1881494,100.00%,72844,77437,78225,95577,117054,126432,130887,160016,156158,138495,146632,152841,137249,107695,62382,50466,37654,22603,8839,1796,212
學甲區,9,計,女,12457,25524,48.81%,388,374,384,554,697,807,856,1051,911,854,962,1079,995,780,496,499,435,251,66,17,1
學甲區,9,計,男,13067,25524,51.19%,374,416,408,592,813,893,983,1086,947,958,1057,1330,1143,832,426,374,258,136,36,5,0
學甲區,9,計,計,25524,25524,100.00%,762,790,792,1146,1510,1700,1839,2137,1858,1812,2019,2409,2138,1612,922,873,693,387,102,22,1
龍崎區,9,計,女,1824,3934,46.37%,40,37,33,56,80,87,92,142,100,115,170,167,160,127,91,100,100,87,36,3,1
龍崎區,9,計,男,2110,3934,53.63%,28,40,27,75,83,103,119,131,130,125,229,267,247,177,95,78,95,41,18,2,0
龍崎區,9,計,計,3934,3934,100.00%,68,77,60,131,163,190,211,273,230,240,399,434,407,304,186,178,195,128,54,5,1
歸仁區,9,計,女,33626,68112,49.37%,1407,1376,1404,1631,2151,2342,2444,3030,2752,2388,2669,2824,2526,1849,970,742,582,359,144,34,2
歸仁區,9,計,男,34486,68112,50.63%,1489,1538,1566,1920,2414,2591,2641,3111,2945,2371,2431,2720,2430,1881,997,630,431,266,96,14,4
歸仁區,9,計,計,68112,68112,100.00%,2896,2914,2970,3551,4565,4933,5085,6141,5697,4759,5100,5544,4956,3730,1967,1372,1013,625,240,48,6
關廟區,9,計,女,16614,34225,48.54%,589,489,532,813,1050,1087,1109,1277,1230,1159,1229,1389,1360,1123,649,577,497,317,110,26,2
關廟區,9,計,男,17611,34225,51.46%,582,571,551,886,1084,1187,1227,1480,1428,1280,1362,1503,1454,1091,644,583,403,214,72,9,0
關廟區,9,計,計,34225,34225,100.00%,1171,1060,1083,1699,2134,2274,2336,2757,2658,2439,2591,2892,2814,2214,1293,1160,900,531,182,35,2
鹽水區,9,計,女,12129,25284,47.97%,369,392,414,603,734,833,763,859,845,766,929,996,914,708,529,514,470,336,119,31,5
鹽水區,9,計,男,13155,25284,52.03%,407,405,430,674,835,898,860,1025,1001,854,1081,1214,1089,854,491,419,334,203,70,11,0
鹽水區,9,計,計,25284,25284,100.00%,776,797,844,1277,1569,1731,1623,1884,1846,1620,2010,2210,2003,1562,1020,933,804,539,189,42,5
七股區,10,計,女,10768,22351,48.18%,260,251,515,476,592,626,597,805,814,791,880,902,781,556,450,456,506,312,150,43,5
七股區,10,計,男,11583,22351,51.82%,272,255,514,534,677,742,676,752,828,904,1137,1256,967,652,419,386,322,190,77,16,7
七股區,10,計,計,22351,22351,100.00%,532,506,1029,1010,1269,1368,1273,1557,1642,1695,2017,2158,1748,1208,869,842,828,502,227,59,12
下營區,10,計,女,11466,23700,48.38%,351,378,342,543,646,717,725,825,753,728,882,1006,878,749,473,536,455,332,126,18,3
下營區,10,計,男,12234,23700,51.62%,388,361,431,556,786,760,799,915,927,799,943,1157,1031,796,468,448,366,217,81,5,0
下營區,10,計,計,23700,23700,100.00%,739,739,773,1099,1432,1477,1524,1740,1680,1527,1825,2163,1909,1545,941,984,821,549,207,23,3
大內區,10,計,女,4339,9416,46.08%,110,88,126,173,279,242,191,273,298,313,316,340,358,359,245,247,166,132,69,11,3
大內區,10,計,男,5077,9416,53.92%,106,105,137,245,273,288,244,306,410,373,440,519,439,406,235,218,179,111,39,3,1
大內區,10,計,計,9416,9416,100.00%,216,193,263,418,552,530,435,579,708,686,756,859,797,765,480,465,345,243,108,14,4
山上區,10,計,女,3424,7190,47.62%,129,74,81,161,211,262,191,227,245,250,276,282,234,203,159,140,145,101,47,5,1
山上區,10,計,男,3766,7190,52.38%,109,76,84,190,257,260,247,277,254,242,342,380,316,234,137,138,125,78,16,4,0
山上區,10,計,計,7190,7190,100.00%,238,150,165,351,468,522,438,504,499,492,618,662,550,437,296,278,270,179,63,9,1
中西區,10,計,女,40559,78415,51.72%,1300,1742,2208,1648,1864,2239,2349,3177,3713,3222,3013,3070,3014,2619,1660,1467,1151,723,297,78,5
中西區,10,計,男,37856,78415,48.28%,1333,1976,2402,1877,2142,2254,2241,2833,2992,2840,2805,2751,2844,2484,1503,1107,809,462,167,33,1
中西區,10,計,計,78415,78415,100.00%,2633,3718,4610,3525,4006,4493,4590,6010,6705,6062,5818,5821,5858,5103,3163,2574,1960,1185,464,111,6
仁德區,10,計,女,37665,76030,49.54%,1539,1444,1319,1732,2162,2509,2660,3450,3278,2892,2865,3148,2838,2309,1337,922,692,376,155,36,2
仁德區,10,計,男,38365,76030,50.46%,1721,1471,1479,1962,2462,2739,2826,3698,3562,2925,2807,2827,2683,2263,1200,796,526,280,115,22,1
仁德區,10,計,計,76030,76030,100.00%,3260,2915,2798,3694,4624,5248,5486,7148,6840,5817,5672,5975,5521,4572,2537,1718,1218,656,270,58,3
六甲區,10,計,女,10583,21917,48.29%,342,383,374,571,669,728,653,790,728,683,808,883,803,673,444,405,353,204,71,16,2
六甲區,10,計,男,11334,21917,51.71%,326,427,446,567,740,791,750,827,844,755,957,1016,924,708,431,367,273,130,47,6,2
六甲區,10,計,計,21917,21917,100.00%,668,810,820,1138,1409,1519,1403,1617,1572,1438,1765,1899,1727,1381,875,772,626,334,118,22,4
北門區,10,計,女,5398,10859,49.71%,135,131,123,224,276,300,319,440,459,423,468,493,409,381,226,253,223,75,32,8,0
北門區,10,計,男,5461,10859,50.29%,139,132,153,233,259,334,342,433,414,486,585,601,466,343,175,159,124,61,17,5,0
北門區,10,計,計,10859,10859,100.00%,274,263,276,457,535,634,661,873,873,909,1053,1094,875,724,401,412,347,136,49,13,0
北區,10,計,女,67743,131549,51.50%,2547,2826,2678,3238,3703,4005,4408,5781,6054,5603,5331,5256,4863,4180,2585,2056,1430,776,333,82,8
北區,10,計,男,63806,131549,48.50%,2777,2927,2818,3414,3920,4224,4439,5400,5762,5138,4945,4736,4338,3560,2050,1504,920,574,275,78,7
北區,10,計,計,131549,131549,100.00%,5324,5753,5496,6652,7623,8229,8847,11181,11816,10741,10276,9992,9201,7740,4635,3560,2350,1350,608,160,15
左鎮區,10,計,女,2046,4697,43.56%,38,33,56,69,104,101,90,110,108,139,176,190,189,160,101,140,106,98,33,5,0
左鎮區,10,計,男,2651,4697,56.44%,40,53,64,76,105,126,123,149,159,174,263,357,285,213,121,124,123,66,28,2,0
左鎮區,10,計,計,4697,4697,100.00%,78,86,120,145,209,227,213,259,267,313,439,547,474,373,222,264,229,164,61,7,0
永康區,10,計,女,119853,235684,50.85%,5182,5379,4760,5905,7335,8187,8800,11401,10793,9627,9914,9986,8344,6012,3301,2417,1485,710,253,58,4
永康區,10,計,男,115831,235684,49.15%,5693,5933,5234,6425,8192,8669,8957,11110,10816,8734,8710,8455,7374,5329,2558,1584,921,678,392,60,7
永康區,10,計,計,235684,235684,100.00%,10875,11312,9994,12330,15527,16856,17757,22511,21609,18361,18624,18441,15718,11341,5859,4001,2406,1388,645,118,11
玉井區,10,計,女,6679,13820,48.33%,183,177,218,318,388,379,375,454,427,385,524,612,581,440,330,331,271,206,68,12,0
玉井區,10,計,男,7141,13820,51.67%,182,197,248,329,421,459,434,472,471,461,637,732,632,497,301,268,223,131,41,5,0
玉井區,10,計,計,13820,13820,100.00%,365,374,466,647,809,838,809,926,898,846,1161,1344,1213,937,631,599,494,337,109,17,0
白河區,10,計,女,13252,27744,47.77%,347,366,414,645,741,781,740,842,914,788,929,1077,1028,892,718,676,695,441,182,35,1
白河區,10,計,男,14492,27744,52.23%,392,360,430,714,854,846,862,963,960,960,1205,1429,1256,1007,640,566,526,354,140,22,6
白河區,10,計,計,27744,27744,100.00%,739,726,844,1359,1595,1627,1602,1805,1874,1748,2134,2506,2284,1899,1358,1242,1221,795,322,57,7
安平區,10,計,女,35269,67069,52.59%,1372,1521,1395,1857,2257,2249,2210,3053,3223,3358,3447,2950,2238,1659,951,723,460,245,84,13,4
安平區,10,計,男,31800,67069,47.41%,1420,1665,1510,1923,2448,2302,2095,2503,2742,2643,2748,2515,2020,1404,767,545,310,162,67,10,1
安平區,10,計,計,67069,67069,100.00%,2792,3186,2905,3780,4705,4551,4305,5556,5965,6001,6195,5465,4258,3063,1718,1268,770,407,151,23,5
安定區,10,計,女,14793,30440,48.60%,563,543,503,788,914,990,1078,1266,1202,1095,1116,1239,1023,804,434,443,403,267,96,24,2
安定區,10,計,男,15647,30440,51.40%,646,526,598,812,1000,1138,1166,1396,1250,1112,1309,1363,1179,847,394,410,287,144,56,13,1
安定區,10,計,計,30440,30440,100.00%,1209,1069,1101,1600,1914,2128,2244,2662,2452,2207,2425,2602,2202,1651,828,853,690,411,152,37,3
安南區,10,計,女,96356,194111,49.64%,4387,4620,4187,4831,5974,6630,7451,9475,8730,6882,7107,7577,6733,4872,2410,1833,1463,827,290,65,12
安南區,10,計,男,97755,194111,50.36%,4767,4904,4453,5373,6389,7247,7712,9731,9238,7045,6975,7181,6522,4778,2355,1577,893,440,146,26,3
安南區,10,計,計,194111,194111,100.00%,9154,9524,8640,10204,12363,13877,15163,19206,17968,13927,14082,14758,13255,9650,4765,3410,2356,1267,436,91,15
西港區,10,計,女,12141,24553,49.45%,422,377,389,553,824,890,832,972,884,829,1020,1012,871,633,430,385,413,255,108,38,4
西港區,10,計,男,12412,24553,50.55%,438,401,410,590,851,933,923,1019,931,800,1047,1194,959,709,382,347,275,157,40,3,3
西港區,10,計,計,24553,24553,100.00%,860,778,799,1143,1675,1823,1755,1991,1815,1629,2067,2206,1830,1342,812,732,688,412,148,41,7
佳里區,10,計,女,29790,59033,50.46%,1024,1154,1130,1408,1694,1944,2132,2558,2526,2054,2289,2414,2287,1780,975,873,750,529,204,62,3
佳里區,10,計,男,29243,59033,49.54%,1131,1229,1219,1551,1881,2092,2214,2511,2432,1936,2102,2347,2203,1746,930,728,549,306,116,19,1
佳里區,10,計,計,59033,59033,100.00%,2155,2383,2349,2959,3575,4036,4346,5069,4958,3990,4391,4761,4490,3526,1905,1601,1299,835,320,81,4
官田區,10,計,女,10483,21343,49.12%,334,321,335,535,650,698,666,758,836,763,848,893,790,645,460,352,297,206,81,14,1
官田區,10,計,男,10860,21343,50.88%,375,304,346,517,725,841,787,826,807,811,903,1072,853,615,353,245,226,177,68,9,0
官田區,10,計,計,21343,21343,100.00%,709,625,681,1052,1375,1539,1453,1584,1643,1574,1751,1965,1643,1260,813,597,523,383,149,23,1
東山區,10,計,女,9630,20501,46.97%,265,243,267,499,565,578,496,653,589,654,701,823,699,674,523,520,429,305,119,28,0
東山區,10,計,男,10871,20501,53.03%,285,231,306,539,614,616,686,723,709,717,1025,1139,968,755,461,472,329,219,65,12,0
東山區,10,計,計,20501,20501,100.00%,550,474,573,1038,1179,1194,1182,1376,1298,1371,1726,1962,1667,1429,984,992,758,524,184,40,0
東區,10,計,女,97032,185996,52.17%,3265,4303,4994,4920,5914,5962,5747,7637,8276,8159,8247,7874,6959,5728,3363,2561,1710,924,385,95,9
東區,10,計,男,88964,185996,47.83%,3367,4657,5489,5418,6331,6210,5648,6731,6962,6590,6954,6591,5973,4949,2841,1911,1158,735,370,67,12
東區,10,計,計,185996,185996,100.00%,6632,8960,10483,10338,12245,12172,11395,14368,15238,14749,15201,14465,12932,10677,6204,4472,2868,1659,755,162,21
南化區,10,計,女,3966,8599,46.12%,154,94,113,153,218,276,238,273,277,231,284,333,337,301,181,177,163,108,51,3,1
南化區,10,計,男,4633,8599,53.88%,125,128,119,187,280,294,270,289,333,318,406,480,390,348,232,174,130,94,32,4,0
南化區,10,計,計,8599,8599,100.00%,279,222,232,340,498,570,508,562,610,549,690,813,727,649,413,351,293,202,83,7,1
南區,10,計,女,63192,124744,50.66%,2088,1980,1974,2792,3539,4132,4639,5380,4942,4495,4909,5419,5245,4424,2627,2104,1405,714,306,70,8
南區,10,計,男,61552,124744,49.34%,2266,2068,2047,2843,3715,4525,4791,5754,5182,4465,4622,4884,4810,3956,2155,1634,1014,532,223,61,5
南區,10,計,計,124744,124744,100.00%,4354,4048,4021,5635,7254,8657,9430,11134,10124,8960,9531,10303,10055,8380,4782,3738,2419,1246,529,131,13
後壁區,10,計,女,11075,23055,48.04%,270,267,296,574,645,650,625,718,695,694,813,915,836,742,551,605,560,425,152,34,8
後壁區,10,計,男,11980,23055,51.96%,320,280,338,598,659,727,713,767,809,726,1004,1182,1074,897,591,495,426,285,83,6,0
後壁區,10,計,計,23055,23055,100.00%,590,547,634,1172,1304,1377,1338,1485,1504,1420,1817,2097,1910,1639,1142,1100,986,710,235,40,8
柳營區,10,計,女,10107,21103,47.89%,324,263,233,515,644,736,658,707,687,671,755,826,750,683,472,450,368,253,89,21,2
柳營區,10,計,男,10996,21103,52.11%,357,274,280,507,721,809,767,841,751,721,907,1050,942,735,430,392,294,162,50,5,1
柳營區,10,計,計,21103,21103,100.00%,681,537,513,1022,1365,1545,1425,1548,1438,1392,1662,1876,1692,1418,902,842,662,415,139,26,3
將軍區,10,計,女,9527,19420,49.06%,218,226,195,383,493,566,552,717,798,698,803,838,760,627,379,435,385,285,128,30,11
將軍區,10,計,男,9893,19420,50.94%,277,249,219,424,509,613,589,716,804,768,946,972,900,647,388,340,283,173,57,17,2
將軍區,10,計,計,19420,19420,100.00%,495,475,414,807,1002,1179,1141,1433,1602,1466,1749,1810,1660,1274,767,775,668,458,185,47,13
麻豆區,10,計,女,21630,43987,49.17%,708,793,825,1075,1248,1279,1397,1656,1713,1401,1573,1805,1657,1368,801,782,756,526,206,54,7
麻豆區,10,計,男,22357,43987,50.83%,764,887,884,1182,1413,1450,1527,1795,1685,1477,1603,1954,1836,1400,811,632,583,344,102,24,4
麻豆區,10,計,計,43987,43987,100.00%,1472,1680,1709,2257,2661,2729,2924,3451,3398,2878,3176,3759,3493,2768,1612,1414,1339,870,308,78,11
善化區,10,計,女,24820,49933,49.71%,1298,1311,1147,1195,1350,1585,1807,2448,2171,1703,1683,1661,1501,1252,792,695,593,425,166,29,8
善化區,10,計,男,25113,49933,50.29%,1360,1422,1182,1237,1431,1597,1938,2406,2288,1689,1678,1830,1609,1262,725,602,468,266,102,20,1
善化區,10,計,計,49933,49933,100.00%,2658,2733,2329,2432,2781,3182,3745,4854,4459,3392,3361,3491,3110,2514,1517,1297,1061,691,268,49,9
新化區,10,計,女,21275,43279,49.16%,713,758,769,1016,1401,1426,1380,1715,1636,1511,1682,1835,1617,1318,801,699,496,358,117,22,5
新化區,10,計,男,22004,43279,50.84%,806,898,827,1192,1518,1562,1574,1768,1720,1513,1658,1835,1655,1352,729,604,431,249,98,14,1
新化區,10,計,計,43279,43279,100.00%,1519,1656,1596,2208,2919,2988,2954,3483,3356,3024,3340,3670,3272,2670,1530,1303,927,607,215,36,6
新市區,10,計,女,18632,37236,50.04%,881,927,828,922,1146,1335,1391,1802,1592,1266,1392,1391,1253,922,508,429,331,222,75,18,1
新市區,10,計,男,18604,37236,49.96%,883,976,852,962,1187,1351,1497,1819,1647,1242,1303,1342,1243,935,532,381,253,150,41,8,0
新市區,10,計,計,37236,37236,100.00%,1764,1903,1680,1884,2333,2686,2888,3621,3239,2508,2695,2733,2496,1857,1040,810,584,372,116,26,1
新營區,10,計,女,38974,77072,50.57%,1248,1587,1805,2121,2409,2561,2484,2989,2957,2728,3027,3154,2936,2375,1440,1233,959,671,241,46,3
新營區,10,計,男,38098,77072,49.43%,1475,1745,1903,2284,2601,2742,2745,2937,2772,2486,2793,2990,2754,2231,1329,1019,723,401,136,27,5
新營區,10,計,計,77072,77072,100.00%,2723,3332,3708,4405,5010,5303,5229,5926,5729,5214,5820,6144,5690,4606,2769,2252,1682,1072,377,73,8
楠西區,10,計,女,4409,9334,47.24%,102,105,122,199,255,242,260,286,293,271,351,378,377,316,231,238,212,125,36,8,2
楠西區,10,計,男,4925,9334,52.76%,112,135,145,224,250,275,326,310,301,374,443,544,462,345,233,176,153,78,34,5,0
楠西區,10,計,計,9334,9334,100.00%,214,240,267,423,505,517,586,596,594,645,794,922,839,661,464,414,365,203,70,13,2
臺南市,10,計,女,943504,1881204,50.15%,34874,37346,37471,45698,55793,60955,63352,79996,78480,70595,74396,77014,69168,55271,33090,28025,21915,13514,5223,1192,136
臺南市,10,計,男,937700,1881204,49.85%,37516,40224,40544,49605,60823,65486,66722,79810,78208,67838,72368,75671,68294,53266,29536,22425,15745,9268,3624,651,76
臺南市,10,計,計,1881204,1881204,100.00%,72390,77570,78015,95303,116616,126441,130074,159806,156688,138433,146764,152685,137462,108537,62626,50450,37660,22782,8847,1843,212
學甲區,10,計,女,12457,25511,48.83%,387,376,383,552,700,796,853,1046,917,851,968,1078,998,786,491,504,436,253,64,17,1
學甲區,10,計,男,13054,25511,51.17%,368,412,415,583,817,886,974,1095,952,955,1057,1314,1159,840,420,374,256,136,36,5,0
學甲區,10,計,計,25511,25511,100.00%,755,788,798,1135,1517,1682,1827,2141,1869,1806,2025,2392,2157,1626,911,878,692,389,100,22,1
龍崎區,10,計,女,1822,3930,46.36%,39,38,34,57,76,89,88,144,100,117,169,169,158,130,88,102,99,88,32,4,1
龍崎區,10,計,男,2108,3930,53.64%,28,40,27,71,85,103,118,128,132,127,229,272,242,174,100,76,96,40,18,2,0
龍崎區,10,計,計,3930,3930,100.00%,67,78,61,128,161,192,206,272,232,244,398,441,400,304,188,178,195,128,50,6,1
歸仁區,10,計,女,33618,68087,49.38%,1399,1382,1393,1634,2135,2342,2418,3030,2765,2400,2661,2813,2542,1869,975,738,578,361,147,34,2
歸仁區,10,計,男,34469,68087,50.62%,1477,1536,1564,1918,2406,2581,2634,3110,2949,2385,2434,2686,2440,1899,1004,623,442,262,102,13,4
歸仁區,10,計,計,68087,68087,100.00%,2876,2918,2957,3552,4541,4923,5052,6140,5714,4785,5095,5499,4982,3768,1979,1361,1020,623,249,47,6
關廟區,10,計,女,16615,34230,48.54%,580,493,536,808,1036,1104,1097,1278,1234,1158,1238,1381,1367,1119,653,579,496,317,112,27,2
關廟區,10,計,男,17615,34230,51.46%,582,578,545,884,1074,1192,1222,1482,1421,1288,1364,1499,1463,1097,640,583,397,219,76,9,0
關廟區,10,計,計,34230,34230,100.00%,1162,1071,1081,1692,2110,2296,2319,2760,2655,2446,2602,2880,2830,2216,1293,1162,893,536,188,36,2
鹽水區,10,計,女,12116,25266,47.95%,370,392,404,608,736,819,755,860,853,762,931,991,914,711,525,519,475,339,118,29,5
鹽水區,10,計,男,13150,25266,52.05%,409,406,426,664,830,908,866,1018,992,859,1082,1219,1083,853,496,420,332,205,71,11,0
鹽水區,10,計,計,25266,25266,100.00%,779,798,830,1272,1566,1727,1621,1878,1845,1621,2013,2210,1997,1564,1021,939,807,544,189,40,5
七股區,11,計,女,10749,22315,48.17%,257,255,500,475,586,626,591,803,825,784,875,908,780,567,448,459,501,314,147,44,4
七股區,11,計,男,11566,22315,51.83%,271,249,514,535,676,744,669,751,830,901,1130,1255,968,661,418,380,319,194,78,17,6
七股區,11,計,計,22315,22315,100.00%,528,504,1014,1010,1262,1370,1260,1554,1655,1685,2005,2163,1748,1228,866,839,820,508,225,61,10
下營區,11,計,女,11475,23703,48.41%,354,380,344,537,632,723,727,824,763,725,878,1002,883,749,478,540,451,332,131,19,3
下營區,11,計,男,12228,23703,51.59%,387,361,432,549,782,769,795,913,929,789,946,1150,1037,799,474,452,359,215,84,6,0
下營區,11,計,計,23703,23703,100.00%,741,741,776,1086,1414,1492,1522,1737,1692,1514,1824,2152,1920,1548,952,992,810,547,215,25,3
大內區,11,計,女,4334,9400,46.11%,109,85,129,171,282,240,191,270,302,312,314,340,350,366,243,247,164,137,68,11,3
大內區,11,計,男,5066,9400,53.89%,105,104,133,243,273,289,240,310,406,368,445,517,440,407,236,216,180,109,41,3,1
大內區,11,計,計,9400,9400,100.00%,214,189,262,414,555,529,431,580,708,680,759,857,790,773,479,463,344,246,109,14,4
山上區,11,計,女,3425,7195,47.60%,125,79,81,159,208,264,190,232,243,246,281,280,230,209,156,142,147,99,47,6,1
山上區,11,計,男,3770,7195,52.40%,113,78,84,187,252,266,246,277,252,242,343,374,317,239,137,138,125,79,16,5,0
山上區,11,計,計,7195,7195,100.00%,238,157,165,346,460,530,436,509,495,488,624,654,547,448,293,280,272,178,63,11,1
中西區,11,計,女,40593,78484,51.72%,1289,1774,2219,1644,1864,2223,2322,3191,3737,3209,3009,3073,2990,2648,1681,1464,1158,713,304,77,4
中西區,11,計,男,37891,78484,48.28%,1323,1990,2424,1871,2135,2241,2244,2820,3016,2840,2818,2745,2835,2500,1512,1104,807,461,171,33,1
中西區,11,計,計,78484,78484,100.00%,2612,3764,4643,3515,3999,4464,4566,6011,6753,6049,5827,5818,5825,5148,3193,2568,1965,1174,475,110,5
仁德區,11,計,女,37692,76066,49.55%,1530,1457,1316,1722,2158,2508,2659,3454,3301,2892,2847,3147,2832,2335,1340,934,683,383,154,38,2
仁德區,11,計,男,38374,76066,50.45%,1707,1488,1493,1938,2463,2713,2830,3693,3564,2927,2804,2823,2701,2275,1215,791,530,280,115,23,1
仁德區,11,計,計,76066,76066,100.00%,3237,2945,2809,3660,4621,5221,5489,7147,6865,5819,5651,5970,5533,4610,2555,1725,1213,663,269,61,3
六甲區,11,計,女,10572,21891,48.29%,339,385,372,562,668,727,645,797,726,677,812,876,802,687,438,408,353,207,74,15,2
六甲區,11,計,男,11319,21891,51.71%,325,424,448,560,741,794,740,826,838,761,948,1024,920,708,435,366,273,134,47,5,2
六甲區,11,計,計,21891,21891,100.00%,664,809,820,1122,1409,1521,1385,1623,1564,1438,1760,1900,1722,1395,873,774,626,341,121,20,4
北門區,11,計,女,5392,10848,49.71%,134,130,127,221,275,304,318,436,458,424,469,490,399,392,226,253,221,74,33,8,0
北門區,11,計,男,5456,10848,50.29%,141,132,151,235,256,331,345,429,415,480,591,593,468,348,175,159,122,63,17,5,0
北門區,11,計,計,10848,10848,100.00%,275,262,278,456,531,635,663,865,873,904,1060,1083,867,740,401,412,343,137,50,13,0
北區,11,計,女,67734,131518,51.50%,2523,2833,2688,3230,3674,4029,4362,5801,6067,5585,5330,5248,4859,4212,2587,2069,1434,781,330,83,9
北區,11,計,男,63784,131518,48.50%,2759,2953,2809,3395,3908,4224,4412,5387,5760,5133,4946,4759,4322,3604,2043,1509,928,569,281,77,6
北區,11,計,計,131518,131518,100.00%,5282,5786,5497,6625,7582,8253,8774,11188,11827,10718,10276,10007,9181,7816,4630,3578,2362,1350,611,160,15
左鎮區,11,計,女,2041,4684,43.57%,39,33,56,68,105,100,89,108,107,141,172,190,189,160,102,139,104,101,34,4,0
左鎮區,11,計,男,2643,4684,56.43%,39,56,63,74,105,124,125,146,158,176,263,357,280,217,124,123,120,63,27,3,0
左鎮區,11,計,計,4684,4684,100.00%,78,89,119,142,210,224,214,254,265,317,435,547,469,377,226,262,224,164,61,7,0
永康區,11,計,女,119933,235720,50.88%,5176,5394,4746,5896,7301,8163,8768,11365,10863,9564,9925,10026,8368,6088,3331,2432,1474,736,253,60,4
永康區,11,計,男,115787,235720,49.12%,5655,5932,5226,6399,8144,8697,8936,11061,10855,8728,8686,8480,7375,5370,2591,1582,936,670,394,63,7
永康區,11,計,計,235720,235720,100.00%,10831,11326,9972,12295,15445,16860,17704,22426,21718,18292,18611,18506,15743,11458,5922,4014,2410,1406,647,123,11
玉井區,11,計,女,6665,13794,48.32%,184,177,217,315,389,377,366,458,426,386,522,603,583,445,328,329,278,203,66,13,0
玉井區,11,計,男,7129,13794,51.68%,183,193,243,331,418,456,432,478,471,455,640,721,636,503,298,265,226,134,40,6,0
玉井區,11,計,計,13794,13794,100.00%,367,370,460,646,807,833,798,936,897,841,1162,1324,1219,948,626,594,504,337,106,19,0
白河區,11,計,女,13237,27717,47.76%,341,361,423,641,739,782,722,846,919,787,926,1071,1025,908,710,672,700,448,178,37,1
白河區,11,計,男,14480,27717,52.24%,390,367,420,709,858,846,859,963,963,959,1194,1429,1256,1011,644,559,523,358,143,23,6
白河區,11,計,計,27717,27717,100.00%,731,728,843,1350,1597,1628,1581,1809,1882,1746,2120,2500,2281,1919,1354,1231,1223,806,321,60,7
